timestamp,mark_price,index_price,position_size,position_value,entry_price,position_start_time,realized_pnl,unrealized_pnl,highest_profit,max_drawdown,current_drawdown,position_utilization,notional_utilization,win_count,loss_count,consecutive_losses,breach_position_size,breach_notional_value,breach_drawdown,breach_loss_streak,order_total_orders,order_filled_orders,order_cancelled_orders,order_amended_orders,order_rejected_orders,volatility,zscore,is_trending,is_volatile,trend_strength,market_impact,order_fill_rate,order_cancel_rate,order_reject_rate,best_bid,best_ask,bid_ask_spread,mid_price
2025-03-21T16:00:31.490142,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0,0,0,0.0,0.0,,,,,,,
2025-03-21T16:01:31.504025,84080.42441010603,84115.39166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,152,0,295,0,1,0.005975066474307277,0.12658352401559286,0,0,1.4801987927891676e-05,0.0,0.0,1.9407894736842106,0.006578947368421052,84078.0,84083.0,5.0,84080.5
2025-03-21T16:02:31.519904,84113.32657095902,84115.39166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,152,0,295,0,1,0.01394117838858674,1.7413050825900604,0,0,9.97887237149748e-05,0.0,0.0,1.9407894736842106,0.006578947368421052,84109.0,84114.0,5.0,84111.5
2025-03-21T16:03:31.539660,84081.01698958223,84115.39166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,152,0,295,0,1,0.017888759999037888,-0.6590655053726158,0,0,3.5984577401742605e-06,0.0,0.0,1.9407894736842106,0.006578947368421052,84079.0,84084.0,5.0,84081.5
2025-03-21T16:04:31.553376,84088.34079896333,84115.39166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,152,0,295,0,1,0.004285136056073287,0.7465110313224148,0,0,2.261477276064873e-06,0.0,0.0,1.9407894736842106,0.006578947368421052,84086.0,84091.0,5.0,84088.5
2025-03-21T16:05:31.566708,84110.56756200592,84115.39166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,152,0,295,0,1,0.009112497197115042,1.173470468095941,0,0,9.7937847045789e-06,0.0,0.0,1.9407894736842106,0.006578947368421052,84110.0,84115.0,5.0,84112.5
2025-03-21T16:06:31.585566,84108.45756672064,84109.21833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,174,0,315,0,1,0.009658298947073879,-0.7875217456506646,0,0,5.372333517407182e-06,0.0,0.0,1.8103448275862069,0.005747126436781609,84106.0,84111.0,5.0,84108.5
2025-03-21T16:07:31.598052,84153.06783955514,84157.81833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,194,0,335,0,1,0.009989757522086105,2.463657974280664,0,0,0.00011353687313994761,0.0,0.0,1.7268041237113403,0.005154639175257732,84142.0,84147.0,5.0,84144.5
2025-03-21T16:08:31.614304,84189.74999410733,84192.07166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,218,1,358,0,1,0.011134883121394112,1.6392020783400354,0,0,4.2150441702411356e-05,0.0,0.0045871559633027525,1.6422018348623852,0.0045871559633027525,84187.0,84192.0,5.0,84189.5
2025-03-21T16:09:31.628904,84169.88521888421,84171.23833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,0,0,0,0,240,3,378,0,1,0.00945059330531426,-2.1311739376103453,0,0,7.548409372173001e-05,0.0,0.0125,1.575,0.004166666666666667,84168.0,84173.0,5.0,84170.5
