timestamp,side,level,price,amount
2025-03-21T16:01:31.504025,bid,0,84078,0.03320237257259841
2025-03-21T16:01:31.504025,ask,0,84083,0.03320237257259841
2025-03-21T16:02:31.519904,bid,0,84109,0.014587199996377975
2025-03-21T16:02:31.519904,ask,0,84114,0.014587199996377975
2025-03-21T16:03:31.539660,bid,0,84079,0.011180204777231995
2025-03-21T16:03:31.539660,ask,0,84084,0.011180204777231995
2025-03-21T16:04:31.553376,bid,0,84086,0.04602820727373418
2025-03-21T16:04:31.553376,ask,0,84091,0.04602820727373418
2025-03-21T16:05:31.566708,bid,0,84110,0.02206573873326774
2025-03-21T16:05:31.566708,ask,0,84115,0.02206573873326774
2025-03-21T16:06:31.585566,bid,0,84106,0.020444012815931584
2025-03-21T16:06:31.585566,ask,0,84111,0.020444012815931584
2025-03-21T16:07:31.598052,bid,0,84142,0.020962884199370507
2025-03-21T16:07:31.598052,ask,0,84147,0.020962884199370507
2025-03-21T16:08:31.614304,bid,0,84187,0.017889613499094154
2025-03-21T16:08:31.614304,ask,0,84192,0.017889603838704603
2025-03-21T16:09:31.628904,bid,0,84168,0.021345042200640724
2025-03-21T16:09:31.628904,ask,0,84173,0.02134506141119023
2025-03-21T16:10:31.645925,bid,0,84175,0.01648586797182306
2025-03-21T16:10:31.645925,ask,0,84180,0.016485882809113138
2025-03-21T16:11:31.659137,bid,0,84148,0.01945477016902569
2025-03-21T16:11:31.659137,ask,0,84153,0.01945480985681081
2025-03-21T16:12:31.672057,bid,0,84138,0.030557196068517246
2025-03-21T16:12:31.672057,ask,0,84143,0.030557258405282003
2025-03-21T16:13:31.684382,bid,0,84131,0.021942213887390767
2025-03-21T16:13:31.684382,ask,0,84136,0.021942300778787158
2025-03-21T16:14:31.696431,bid,0,84197,0.015533561432924173
2025-03-21T16:14:31.696431,ask,0,84202,0.015533590791392273
2025-03-21T16:15:31.709881,bid,0,84180,0.024712824346240808
2025-03-21T16:15:31.709881,ask,0,84185,0.02471288810543729
2025-03-21T16:16:31.716806,bid,0,84158,0.01639849578771912
2025-03-21T16:16:31.716806,ask,0,84163,0.016398550394831322
2025-03-21T16:17:31.735092,bid,0,84146,0.02423224617686588
2025-03-21T16:17:31.735092,ask,0,84151,0.024232339228929412
2025-03-21T16:18:31.753973,bid,0,84151,0.03425160687725566
2025-03-21T16:18:31.753973,ask,0,84156,0.03425173840376278
2025-03-21T16:19:31.769861,bid,0,84150,0.024518527419117822
2025-03-21T16:19:31.769861,ask,0,84155,0.024518621570504138
2025-03-21T16:20:31.795074,bid,0,84142,0.02683020430723898
2025-03-21T16:20:31.795074,ask,0,84147,0.02683030733548727
2025-03-21T16:21:31.811156,bid,0,84144,0.044178185042001224
2025-03-21T16:21:31.811156,ask,0,84149,0.044178354686666074
2025-03-21T16:22:31.827737,bid,0,84127,0.019672082263144236
2025-03-21T16:22:31.827737,ask,0,84132,0.019672183181271386
2025-03-21T16:23:31.844988,bid,0,84130,0.0391587171627786
